review,sentiment
"very, very, slow-moving, aimless movi distressed, drift young man.",0
"sure lost - flat charact audience, near half walk out.",0
"attempt arti black & white clever camera angles, movi disappoint - becam even ridicul - act poor plot line almost non-existent.",0
littl music anyth speak of.,0
best scene movi gerardo tri find song keep run head.,1
"rest movi lack art, charm, meaning... emptiness, work guess empty.",0
wast two hours.,0
"saw movi today thought good effort, good messag kids.",1
bit predictable.,0
love cast jimmi buffet scienc teacher.,1
babi owl adorable.,1
"movi show lot florida best, made look appealing.",1
song best muppet hilarious.,1
cool.,1
"""right case"" movi deliv everyth almost right face.",1
"averag act main person, low budget clear see.",0
"review long overdue, sinc consid tale two sister singl greatest film ever made.",1
"i'll put gem movi term screenplay, cinematography, acting, post-production, editing, directing, aspect film-making.",1
"practic perfect  true masterpiec sea faux ""masterpieces.",1
"structur film easili tight construct histori cinema. 1 think film someth vital import occur everi minute. 1 words, content level film enough easili fill dozen films. 1 anyon right mind ask anyth movi this? 1 quit simpli highest, superl form cinema imaginable. 1 yes, film requir rather signific amount puzzle-solving, piec fit togeth creat beauti picture. 1 short film certain pull punches. 0 graphic far best part game. 0 number one best th game series. 1 deserv strong love. 1 insan game. 1 massiv levels, massiv unlock characters... massiv game. 1 wast money game. 1 kind money wast properly. 1 actually, graphic good time. 1 today graphic crap. 0 say canada, fun game, aye. 1 game rocks. 1 buy it, play it, enjoy it, love it. 1 pure brilliance. 1 flick doom conception. 0 idea lame - take minor charact mediocr pg-13 film, make complet non-sequel chang tone pg-rat famili movie. 0 least bit interested. 0 confirm film would unfunni generic, also manag give away entir movie; i'm exagger - everi moment, everi plot point, everi joke told trailer. 0 funny. 0 even talent carrel can't save this. 0 co-star fare much better, peopl like morgan freeman, jonah hill, ed helm wasted. 0 stori predict lazy. 0 real effect work presenc animals, integr scene worst obvious blue/green-screen work i'v ever seen. 0 whatev cost much, translat quality, that sure. 0 film succeed despite, perhap of, obvious meagr budget. 1 i'm glad film go obvious choice, lesser film certain would have. 1 addit one love song ever written, french cancan also boast one cutest lead ladi ever grace screen. 1 hard fall head-over-heel love girl. 1 negative, insipid enough caus regret anoth 2 hour life wast front screen. 0 long, whini pointless. 0 recommend wait futur efforts, let one go. 0 excel cast, stori line, performances. 1 total believable. 1 ann hech utter convincing. 1 sam shepard portray gung ho marin sobering. 1 sat rivet tv screen. 1 give one resound 9 10. 1 think tom hank good actor. 1 enjoy read book children little. 1 disappoint movie. 0 one charact total annoy voic give feel fingernail chalkboard. 0 total unnecessari train/rol coaster scene. 0 absolut warmth charm scene characters. 0 movi total grate nerves. 0 perform improv improvisation, actor twice much worri about: whether they'r deliv line well, whether line good. 0 and, quit honestly, often good. 0 often dialogu realli follow one line another, fit surroundings. 0 crackl unpredictable, youth energi - honestly, found hard follow concentr meander badly. 0 general great thing it. 1 say they'r worth 2 hour time, though. 0 suspens builder good, & cross line g pg. 1 especi like non-clich choic parents; movies, could predict dialog verbatim, write movi made better selections. 1 want movi that gross give chills, great choice. 1 alexand nevski great film. 1 amaz film artist, one import whoever lived. 1 i'm glad pretenti piec s*** plan dodg stratus big shots... gonna help movi maker restrain movi business"" québec.",0
first movi i'v given 10 years.,1
"ever movi need word-of-mouth promote, it.",1
"overall, film interest thought-provoking.",1
"plus, well-pac suit relat short run time.",1
give one look.,1
gave 10,1
wind lion well written superbl acted.,1
true classic.,1
actual turn pretti decent far b-list horror/suspens film go.,1
definit worth check out.,1
problem script.,0
horrendous.,0
noth believ all.,0
suspens feel frustrat retard girl were.,0
manna heaven terrif film predict unpredict time.,1
scene often funni occasion touch charact evalu live going.,1
cast veteran actor nostalgia trip.,1
ursula burton portray nun touch funni time make fun nun church.,1
"look movi terrif cast, good music(includ shirley jone rendit ""the way look tonight""), uplift ending, give one try.",1
think disappointed.,1
"frankly, cotton club unfaithful, kind embarrass watch lane gere film, bad.",0
"act bad, dialog extrem shallow insincere.",0
"predictable, even chick flick.",0
polit correct.,0
disappointing.,0
"thing realli worth watch sceneri house, beautiful.",1
"love lane, i'v never seen movi lousy.",0
hour half wish could bring back.,0
term write fresh bold.,1
"act help write along well (mayb idiot-sav sister could play better), real joy watch.",1
direct cinematographi quit good.,0
"movi boring, sometim found occupi peak paper instead watch (never happen columbo movi before!",0
"), sometim embarrass look away.",0
direct seem pretentious.,0
"scene ""oh-so-mature"" neighbour-girl misplace.",0
general line plot weaker averag episode.,0
"scene debat whether sack trumpet (who fals accus murder) pure horror, realli stupid.",0
"applaus given ""prelude"" however.",1
realli like that.,1
great film great director.,1
movi edg seat made somewhat afraid go car end night.,1
music film realli nice too.,1
i'd advis anyon go see it.,1
brilliant!,1
10/10,1
like movi way much.,1
problem thought actor play villain low rent michael ironside.,0
rock world certain must see anyon social physic outlets.,1
"however, make fact overall, tremend bore movie.",0
"chemistri ben affleck sandra bullock film, understand would consid even leav wife-to-b chick suppos knock by.",0
sever moment movi need excruci slow moving.,0
"poor remak ""mi best friend wedding"".",0
"all, great disappointment.",0
"cannot believ actor agre ""film"".",0
could stand even watch long fear lose i.q.,0
guess nobodi network air dribbl watch put on.,0
"imdb rate go low 1 awful, time get negat number case these.",0
"saw ""mirrormask"" last night unsatisfactori experience.",0
"unfortunately, inexperi direct meant scene scene pass littl way dramat tension conflict.",0
"central theme film handl ineptly, stereotyp depth imagination.",0
pretti pictur world cannot make piec work flaw core.,0
"hour half wast time, follow bunch pretti high schooler whine cri life.",0
"can't relat them, hell bare understand them.",0
definit cult classic well worth view share others.,1
"movi pure disaster, stori stupid edit worst seen, confus incredibly.",0
fish bad made underwat shot repeat thousand time film.,0
"truly, truli bad film.",0
"act terrible, write worse.",0
possibl way movi could redeem would mst3k fodder.,0
paid much.,0
"also, real treat see anthoni quinn play crazi horse.",1
boring!,0
plot whatsoever!,0
"again, plot all.",0
horrible!,0
worst hour half life!oh gosh!,0
walk theatr minut get relief!,0
hate movi like that.,0
"yeah, movi pretti much sucked.",0
plot storyline!!,0
"go see movie, bring pillow girlfriend/boyfriend keep occupi out.",0
awful.,0
think i'v ever gone movi dislik much.,0
good thing ticket cost five dollar would mad i'd paid $7.50 see crap.,0
nobodi identifi charact they'r cardboard cutout stereotyp (or predict reverse-stereotypes).,0
"bad film, bad writing, good actors....an ugli cartoon craft paul haggi peopl can't handl anyth bold stroke storytelling....a pictur paint crayons.",0
"crash depress littl nothing, provok emotion, teach noth alreadi know racism prejudic bad things.",0
"still, like movi empower women; there enough movi like one.",1
brain attempt shut-down part primal impuls self-preservation.,0
left shatter experi watch film took good two hour fulli recover.,0
movi join reveng boogeyman zombiez part hellish triniti horror films.,0
certain mean distinct good way.,0
mean terribl way.,0
film redeem features.,0
everyth appalling.,0
"artless camera-work endless present us ugliest set imaginable, i.e.",0
stori beyond stupid.,0
script script?,0
kid annoying.,0
lead man charisma-free.,0
"utter without merit level, akin torture.",0
i'll even say  torture.,0
mayb would reason explan atrocity.,0
pleasant voyag self-discovery.,0
high unrecommended.,0
"premis sound stupid, that is.",0
"yes, bad.",0
noth recommend.,0
excel perform ms.,1
"garbo, show right bat talent could carri silent era (i want see silent work, netflix seem stock them.",1
also great see renown silent screenwrit franc marion miss step go silent sound.,1
"movi suffer writing, need suspense.",0
mani close ups.,0
movi seem drag hero realli work freedom.,0
movi definit averag rent.,0
"love it! 1 movi bad. 0 bad. 0 film way long. 0 definit one bad ones. 0 movi receiv great qualiti film age. 1 john wayn incred job young movi industry. 1 screen presenc shine thought even though senior actor screen him. 1 think must see older john wayn film. 1 realli see anyon could enjoy movie. 0 think i'v ever seen movi half bore self-indulg piec junk. 0 probabl would better director spent movi showcas art work, realli noteworthy. 0 anoth thing realli like charact got punch face, gallon blood would spew forth soon after. 0 jami foxx absolut ray charles. 1 perform simpli genius. 1 own film, spacek own coal miner daughter"" quaid own ""great ball fire.",1
"fact, hard rememb part ray charl acted, play man himself. 1 ray charl legendary. 1 ray charl life provid excel biograph materi film, goe well beyond anoth movi musician. 1 hitchcock great director. 1 iron most find film total wast time watch. 0 secondly, hitchcock pretti much perfect thriller chase movie. 1 pander audienc sabotag films. 0 henc whole stori lack certain energy. 0 plot simpli rumbl like machine, desper depend addit new scenes. 0 usual hitchcock logic flaws. 0 mishima extrem uninteresting. 0 chilly, unremark movi author living/work chilli abstrus culture. 0 flat reenact hold attent emot adrift stagy. 0 rest sit awful... soldier sing song masculin pledg to, hairsplit purity, admir swords, etc. 0 bore pieces, kill momentum movie, quicker anyon else. 0 schrader made resum full lousy, amateurish films. 0 first watch movie, 80s, love it. 1 total fascin music, dancing... everything. 1 however, recent watch whole thing dvd, complet struck extrem stupid storylin - contain holes, inconsist - frank - whole lot crap - horrid danc was. 0 mean, realist world, would never gotten ballet repertory... whole thing quit pathetic. 0 charact develop also lack depth. 0 woa, talk awful. 0 wast time. 0 horrible. 0 worst, sappiest dialogue... could go on. 0 realli made unwatch direction. 0 poor actors. 0 can't even tell talent pathet line speak director gave action. 0 check director filmographi site see film chance. 0 would even good made tv flick. 0 good intent made film great, film might one greatest film ever made. 1 film great actors, master director, signific theme--at least would-b signific theme, underton fifti existenti world-weariness, aerial scene ought thrill sens imagination, charact one might deepli care. 1 regrettably, film fails. 0 movi lack visual interest, drama, express feeling, celebr patriot underlin narrative. 0 actress wors use june allison movie. 0 yet, enjoy watch it. 1 unfortunately, bad movi plain bad. 0 bad script, bad direct horribl act make one plain bad! 0 dialogu sucked. 0 cinematography-if call that-sucked. 0 soundtrack sucked. 0 act sucked. 0 concert sequenc sucked. 0 nice. 1 funny. 1 funny. 1 overall, movi cheap trash. 0 movi funny, consid ridicul it. 0 came feel angry. 0 ***spoilers*** whatev els (or can't) said it, surfac superbl crafted. 1 cinematographi simpli stun (to say least) fx noth state-of-the-art. 1 conceptually, show offer littl bit everything- everybodi (parents, kids, fantasi and/or fx fans). 1 singl sour note struck acting-wise, either; surpris solid casting, here. 1 thing considered, job well done. 1 thank good movi like done released. 1 one best mexican movi ever!, one less understood, even mexican themselves, matter identifi felt it. 1 rank high great noir-crime-drama, incred perform belmondo lino ventura. 1 attent given everi character, complex psycholog portrayals, detail loyalty, treachery, love, hope, tremendous. 1 excel drama, excel thriller, excel film. 1 best melville. 1 everyth film simpli incredible. 1 truli take journey eye soul child. 1 black water thriller manag complet transcend limit (it indi flick) continu subvert expect emerg intens experience. 1 perform real gripping, crocdodil extrem well done, inde black water websit believ that use real croc swamp locat fabulous. 1 thorough enjoy christoph eccleston took control tardi continu series. 1 i'm sure tri film. 0 turn good day feel night disturb memori guess succeeded. 0 lot beauti places. 1 forced, like everyth movie. 0 again, lame. 0 here movi realli pi** off. 0 even get start jerki camerawork. 0 saw theater thought go sick. 0 summary: wittic witty. 0 plot - well, said i'd let one go. 0 act bad. 0 realli bad. 0 even billi bob rise script, worse. 0 camerawork - again, bad. 0 rating: 1 10. 0 amaz final possibl best trilog time! 1 kieslowski never ceas amaz me. 1 one favourit directors, one talent director histori cinema. 1 use colour french flag three film noth short incredible, everi shot, everi scene like work art. 1 three visual appeal movi i'v ever seen. 1 subtl connect three film awesome. 1 mention huge spoiler, love ending, charact three film remain survivor ferri disaster, valentin young judg together, old man watch tv, solidifi happi suffer dealt mani years. 1 think better way end film, smile face, great way wrap amaz film trilogy! 1 recommend everyon love film, movies, anything...a work art! 1 10 10 movi trilogy. 1 liter vomit watch film. 0 think one peopl found anoth one roth pearls. 1 performance, awarded, stunning. 1 stori told eloqu franci ford coppola 25 year earlier, realli unfold gradual leav room charact develop. 1 wonder locat lie stori contrast. 1 beauti direct film nicola roeg wih sublim cast. 1 i'm translat movi live first movi 5-year work experi found offens intelligence. 0 someon strive great poetry, deliv muddl (and often ridiculous) story, bunch dispar scenes, pretenti dialogue... get worst kind movi review accur defin pretenti crap"".",0
"find movi intellig even masterful, say - intellig imagin obvious use tri make sens piti attempt (it human natur tri make sens things) .",0
"one thing: toler polit incorrect well, i'm artist freedom suspens disbelief, slavic femal charact much.",0
fun funni movie.,1
high entertain angles.,1
"featur outlandish array memorable, psychot lovabl nuts.",1
"enjoy get see run around, play games, dangerous.",1
even sweet moments.,1
telephon repair man realli funni reaction nut bitchi boss truli genuine.,1
charact film tremend well played.,1
realli find funny.,1
actual smart movie.,1
brilliant twist ending.,1
"love it. 1 end so, perfect... shed tear. 1 thrill see movi like this. 1 never forget now. 1 cult... cult classic. 1 depth charact man underneath it. 0 malta set dri barren dialogue. 0 movi terrible. 0 hockey scene terrible, defensemen play like they'r 5 year old, goali dive shot 10 feet wide net, etc. 0 seen it, wast time! 0 call movi drama ridiculous! 0 start watch believ characters. 0 particular relationship bakeri assist waitress work all. 0 superfici movi gave feel watch play rather film. 0 charact stagey storylin lot like stage farce. 0 time pyromaniac waylaid assist bore care happen next switch off. 0 glad pay see it. 0 laugh even smile once. 0 anyth one big yawn... 0 realli good show watch. 1 educ children 1 8 year old. 1 barney definit super de duper. 1 pretti funny. 1 babi bop cute. 1 kid cool too. 1 ""storm trooper"" even bad enough make list wonder terribl movies.",0
lame.,0
guy said he better dialogu pot plant right.,0
everyth movi stupid.,0
"even love bad movies, watch movie.",0
shameful.,0
would give televis seri 10 plus could.,1
"writer ""smack on"" think best actor actress bonus show.thes charact real.",1
must say tape episod find watch again.,1
know gave 10+!,1
"know exact movie, latch endear movi becom special part famili memories.",1
total absolut recommend movi anyon like good wholesom famili movi exact is.,1
thing four kid get absolut hilari watch.,1
one best movi show strong sibl bond other.,1
"much interesting, action, suspense, less unneed controversy.",1
everyth act cinematographi solid.,1
definit worth check out.,1
damian talent versatil mani way write portray differ charact screen.,1
movi cut edg it.,1
"pleas know modern day genius , let passion art drive take us audienc him.",1
"new charact memorable, found forget who.",0
felt though go ireland absolut noth whatsoever.,0
"make scared, horrified, make sympathet toward characters; simpli annoying.",0
jerki camera movement also annoying.,0
plot pretti much everi cheap horror.,0
"pathet attempt give charact depth, realli work rest plot.",0
"guess suppos clever twist, shed light situation, stupid.",0
"see it, probabl leav shelf.",0
"elia koteas,jack palanc play good role angelina hot get naked.billi drago appear cool usual + cameo sven ole thorsen help make enjoy movi good act decent budget.",1
awesom movi bought ebay.,1
"realli love stori line poler bear kinda cute.but anyon question fort steele, ask away:)",1
total unfunni movi top pathet unrealist throughout whole 90 minut utter tortur probabl look watch 70000 times!,0
luci bell much higher crap sink low quit depressing.,0
movi make sick watch slacker make excus stupid action 90 minutes.,0
"god, never get 90 minut back!",0
"think wonder part (literally, full ""wonder"") excerpt works.",1
"set (especi design work camera) amazing....stylized, beauti effective.",1
could use exemplar set designer.,1
stori power explor natur man art.,1
"watch film, want learn work artist.",1
"high recommend movi anyon interest art, poetry, theater, politics, japanes history.",1
"here, wind lion, see wonder render america imperi age.",1
") make stori differ terrif product valu - faultless photography, composit edit - terrif cast - underappreci brian keith play bulli teddi - vivid history.",1
"though wind lion told larg eye son, everi member famili identifi one characters, whether sean conneri nobl brigand, candac bergen feisti heroine, john huston wili john hay steve kanali spiffy, radiant, ruthless can-do lieutenant, roosevelt ""big stick"".",1
high adventur best.,1
"think robert ryan best film, portray someon like father, schizophren real life,(mi father) although never murder anyon affect second world war made worse.",1
humour get get day apt.,1
"(mi mother brother this)when saw robert ryan portray type man, good imit type individual, impressed.",1
almost song cover girl old-fashion tuneful.,0
annoy thing cover girl way rita hayworth put pedestal.,0
"unfortunately, cover girl exampl hollywood use exploit women financi gain.",0
non-linear narrat thus mani flashback everi part articul quit well.,1
good cinematographi also make monica bellucci look beautiful.,1
good commentari today love undoubt film worth seeing.,1
"peopl first timer film making, think excel job!!",1
"popular cinema, good hous good reaction plenti laughs.",1
feel-good film that felt came cinema!,1
northern humour posit communiti represents.,1
rather enjoy it.,1
like it.,1
take seriously.,0
realli creat uniqu feel though.,1
vivian schill excel job script.,1
world better 95% garbag theatr today.,1
role play well.,1
screami masculin right.,1
camera realli like movie.,1
would cast role readi script.,1
"european, movi nice throwback time student 1980 experi live abroad interact nationalities, although circumst slight different.",1
fan ... movi suck realli bad.,0
even wors ticker!,0
& movi bad.,0
"like 3 4 build used, coupl locat maybe, & poor hummh!",0
blew.,0
"movi excellent!angel beauti scamp adorable!hi littl yelp hes scared,and funniest part when:scamp caught curtain angel scamp sing ive never feel before'.i total recommend movie,it come special edit june 20.the cover scamp garbag angel underneath lid.",1
"cant explain movi romantic,charming,hilarious,and adorable.th junkyard scene funny,al junkyard dog someth special.too funni laughed,kid love it.buy come out,it new features!",1
chosen tortur disgust piec blatant american propaganda.,0
show made american - stupid full hatr cliché admit elsewhere.,0
"almost everyon involv must return school, act utter predict bad, script pile garbag round.",0
"wish could enter negat values, admins?",0
"set bad, look place thunderbird episode.",0
"use slow-mot needless repeat throughout movi well back bad act (and bad kind word here), continuity, scene thrown reason whatsoever, vehicl look like made corn flake box directori style border stupidity.",0
"oh yeah, storylin pathet too.",0
hate write bad review film - especi realli like star - film bad believ one second anyon could proud it.,0
filmmak director would hide head sand i'd spent whatev amount money time movie.,0
short - monument wast time energi would recommend anyon ever see film.,0
came free dvd player bought still turn thing halfway embarrass howell.,0
1/10 - set 0/10.,0
"interest premise, billi drago alway good danger nut-bag (side note: i'd love see drago, stephen mchatti lanc hendrikson flick together; talk rage cheekbones!).",1
"soundtrack terrible, either.",1
"acting--even profession drago debbi rochon--wa terrible, direct wors (perhap contributori former), dialog chimp-like, camera work, bare tolerable.",0
"still, set got big ""10"" ""oy-vey"" scale.",1
"yes, simplifi thing sake brevity, realli core problem film - much go without real, fulfil explanation.",0
good job quit amusing.,1
"convolut plot convinc me, much film watch weird, question glance.",0
"let girlfriend talk see - bad idea, hate it.",0
last 15 minut movi also bad well.,1
"bela lugosi total extraneous, inton odd lines.",0
"act decid wooden, though wors period univers b movie.",0
"like armand assant & cabl compani summari sound interesting, watch it, twice already, probabl again.",1
believ screenwrit good job tie loos ends.,1
8/10 score most plot.,1
"say - like spoilers, want one, believ film worth time.",1
"wow, bad film.",0
"frighten least, bare comprehensible.",0
"plot hang togeth all, act absolut appalling.",0
even good camp value!,0
"expect oscar material, this?",0
iq particular stupid mollusk see one coming.,0
film (and use word loosely) insult movie-go public.,0
someon involv knew string togeth narrative!,0
"get 1 10, simpli there noth lower.",0
"one have, watch recent fox movi channel, disappointed.",0
"know contract player littl control scripts, act bad script.",0
"victor mclaglen even bad, brian donlevi almost unrecognizable.",0
"consid relat screen taylor stanwyck, surpris littl chemistri screen two them.",0
premis film ridiculous: presid u.s.,0
death row scene entir unmoving.,0
thing wors taylor act stanwyck singing.,0
"whatev produc go for, miss entirely.",0
deepli impress charact played.,1
knew saw film great thing come gift actor.,1
"cheap cheerless heist movi poor characterisation, lot underbit style stoic emot (think chow yun fat better tomorrow) cheesi cliché thrown abandon factori readi poor execut fli judo roll la john woo.",0
even squib look awful.,0
point proceed look remot like america.,0
"plot, is, deriv predict end like merci killing.",0
aw dialogu hopeless overact everyon get shot top real wast space time.,0
"uneasi bad movi was, scare all.",0
dialogu compos thing make littl sense.,0
"30 minut footag wast show mediocr elder actor awkward babbl overwrought pseudo-satan gibberish corni enough make teen goth blush, almost alway old english, sometim latin may may made words.",0
direct sloppi best.,0
"hackney writing, certainly, made even wors bad directing.",0
"course, act blah.",0
act whole cast could put scale balanc perfect overact underacting.,0
"and, finally, that, get end would'v great handl compet peopl jerri falwell.",0
"love movi great portray famili share up down, end knew special love other.",1
"seen mani movi star jaclyn smith, god one best, though came 12 year ago.",1
"movi contain all-star cast, love open eye see actor seen before.",1
"movi kind long length, enjoy everi minut it.",1
overal rate movi 10 1-10 scale.,1
"lifetim air enough, anyon know store sell let know must-have.",1
"particular rememb sens assault strident cord music would blare littl warning, even less meaning.",0
sort pap screen afternoon punish unemploy jobs.,0
"total different, load understat black comedy, film get see, rememb it.",1
"movi creat universe, fascin everi way.",1
movi realli got me.,1
see it.,1
"realli hope team behind movi make movies, continu own, kinda weird style.",1
"forgot: cast superb, trond fausa aurvåg perfect role bothersom man, understand is, why.",1
movi good humor comment life 2006.,1
"found move beautiful, enjoyable, uplifting.",1
"initi local site film, film buffalo, intrigu me.",1
later found lost power film.,1
entir audienc applaud conclus film.,1
"left theater lilt step, joy heart hope human race.",1
duri wholesom appear give fine performance.,1
rest cast also play well.,1
cinematographi noteworthi includ fine view barcelona fame gaudi towers.,1
ten minut film start second thoughts.,0
half way film start dislik it.,0
"time film ended, dislik it, despis it.",0
film lack convinc script.,0
script look rough draft written shoot began finish script completed.,0
"thing happen, charact person change, plot twist occur real reason script call it.",0
cast good.,1
"that, worth check out.",1
probabl irrit show ever seen entir life.,0
indescrib annoy idiot show ever seen.,0
everyth bad.,0
"could understand, kind idiot would produc mess first place mention sever season.",0
"script bad, bad  contain cheesi uneth joke normal see rate r nc-17 movie.",0
"cast also horrible, caus see realli realli bad actors, period.",0
final word: show real torture!!,0
zillion time away reality.,0
watch wash machin twirl around hurt eye much show.,0
rating: 0/10 (grade: z) note: show bad even mother cast pull daughter show.,0
20th centuri fox road hous 1948) quit silli noir implaus unmitig bore movie.,0
"full unconvinc cardboard charact bland written edward chodorov, also produced, surpris direct jean negulesco one would expect great deal more.",0
